Id,Breed,State,Places,Longitude,Latitude,Population,Synonyms,Origin,Major utility,Comments on utility,Comments on breeding tract,Adaptability to environment,Management system,Mobility,Feeding of adults,Comments on Management,Colour,Horn shape and size,Visible characteristics,Height (avg. cm.),Body Length (avg. cm.),Heart girth (avg. cm.),Body weight (avg. kg.),Birth weight (avg. kg.),Litter size born,Age at first parturition (months),Parturition interval (months),Milk yield per lactation (kg),Milk Fat (%),Any Peculiarity of the breed
346,Konkan Kapila,Maharashtra,"Palghar,Sindhudurg,Ratnagiri,Raigadh,Thane",72.39 - 73.48,16.60 - 20.20,"{""2012"": ""600000""}",Konkan gidda  Konkan,Derives the name from its habitat i.e. Konkan belt of Maharashtra state and Kapila is the name given to cow as per Indian ancient literatures. Animals are indigenous in origin.,Draught  milk and manure,The animals are useful to the farmers in all kinds of agricultural operations.In some of the Konkan area  Konkan Kapila cows are the only source of milk due to non-availability of dairy milk because of lack of transport facilities.,Konkan region exhibits peculiar physiographic set up with undulating terrain throughout the region  except coastal plains. The area ranges in elevation from mean sea level up to 200 to 1425.50 meter.,,Extensive,Stationary,Grazing,Mainly kept on grazing but farmers offer small amount of grasses collected from forest and small amount of concentrates especially to lactating cows and working bullocks.,,Generally straight. Emerge from side of the poll behind and above eyes in outward direction and going upwards and backwards ending with pointed tips.Male-18.45cm; Female-18.30cm.,Small to medium sized and compact body  horizontal ears and straight forehead. Eyelids  muzzle  hoof and tail switch are generally black.,,"{""male"": 109.29, ""female"": 101.48}","{""male"": 146.55, ""female"": 134.1}","{""male"": 240.0, ""female"": 225.0}","{""male"": 14.74, ""female"": 13.55}",1.0,49.27,17.33,450.0,4.55,Konkan Kapila cattle are low milk producer (around 2.25 kg in day) and possess good draft ability suited to hilly terrain and hot and humid climate of its native tract and are significantly contributing to the livelihood of small and marginal farmers.
339,Kosali,Chhattisgarh,"Janjgir,Bilaspur,Durg,Raipur",81.38 - 82.6,21.14 - 22.33,"{""2007"": ""1500000"", ""2013"": ""2431859""}",,Predominately seen in the plain area of Chhattisgarh. The ancient name of this region was ‘Kowshal’  named after the maternal uncle house of Lord Ram.Farmers particularly Yadava/Rawuth community are keeping this cattle generation after generation.,Manure  Draught and Milk,,Soil type: light to medium light (red-yellow)-65%  Medium heavy to heavy (brown-black)-35%.,,Extensive,Stationary,Grazing Fodder and Concentrate,Most of the time local cows are let loose and meet their feed requirements through grazing. Besides grazing  paddy straw is also provided by the farmers. Some amount of concentrate is provided to lactating and advanced pregnant animals.,,Stumpy and straight. Outward  upward and inward. About 21cm in males and 12cm in females.,Muzzle  eyelids  tail switch and hooves are black. Head broad  flat and straight.Hump small to medium in size. Udder small and bowl shaped.,,"{""male"": 126.0, ""female"": 102.8}","{""male"": 152.2, ""female"": 125.4}","{""male"": 260.0, ""female"": 160.0}","{""male"": 14.5, ""female"": 13.2}",,53.0,,210.0,3.5,Bullocks of this breed are very efficient for paddy field operation after sowing. This method is called ”Beeashi” in local language
315,Krishna Valley,Karnataka,"Raichur,Bijapur,Belgaum,Solapur,Sangli,Satara",74. - 78.,15.8 - 17.8,"{""2013"": ""3462""}",Kistna Valley,Gir cattle from Kathiawar  Ongole from Andhra Pradesh  Kankrej from Gujarat and local cattle having Mysore type blood in them have contributed to the origin of Krishna Valley breed.,Work - Draught,This is a heavy draught breed and used exclusively in the black cotton soil of the watershed of river Krishna.,,,Semi-Intensive,Stationary,Grazing  Fodder and Concentrate,Cattle are usually allowed to graze only after the grasses have been harvested for hay making. All animals are stall fed throughout the year. Sorghum  maize  beans and grasses are fed as green fodder. Concentrate is fed to milking cows and bullocks. Shevri is grown extensively along the banks of the rivers; the plant remains green throughout the summer. Loppings are used for feeding . Male calves are allowed to suck two teat and female calves one teat. At  the age of 2-1/2  years  young males are broken into work  and at 3 to 4 years  they are castrated and sold as bullocks.,,Curved and usually emerge in an outward direction from the outer angles of the poll curving slightly upward and inward. Horns are small in size.,Massive body  distinct bulge in the forehead.,,"{""male"": 153.0, ""female"": 132.0}","{""male"": 196.0, ""female"": 168.0}","{""male"": 550.0, ""female"": 325.0}",,,,,,,Bullocks of this breed have been exported to Brazil and the United States of America.
345,Ladakhi,Jammu & Kashmir,"Kargil,Leh",77. - 79.,32.50 - 35.50,"{""2012"": ""54000""}",-,Local. Originated from Ladakh region of J&K.,Milk  draught and manure,Milk of this cattle serves as an important protein source for local people  particularly during lean winter period. Milk has high fat percentage of around 5% and is used mainly for producing butter and churpi  important part of diet of local people.,It is a high altitude desert. The main source of water is the winter snowfall on the mountains. The regions on the north flank of the Himalayas—Dras  the Suru valley and Zanskar—experience heavy snowfall and remain virtually cut off from the rest of the country for several months in the year. Summers are short  although long enough to grow crops. The proportion of oxygen is less than in many other places at a comparable altitude because of lack of vegetation. Naked barley  normal barley and wheat are the staple crops all over Ladakh  along with mustard (for oil)  lentils and other pulses  and vegetables.,,Extensive,Stationary,Grazing,Lactating cows are additionally provided with feed called Thuchu that includes left over food (rice  raw vegetables  sattu  etc)along with local barley straw. In winter  farmers mix local barley grains/sattu in hot salted water and feed to animals particularly lactating cows.,,Mostly curved  directed slightly upward and forward ending with pointed tips over the forehead. Average size: 16cm in male and 11cm in female,Small hairy  forehead with slightly long face. Small hump. small statured with short legs,,"{""male"": 89.0, ""female"": 87.93}","{""male"": 118.88, ""female"": 116.76}",,,1.0,48.0,11.8,,5.24,"In spite of extreme climatic conditions, subsistence on poor quality feed and low availability of water, it produces around 2 to 5 kg of milk per day"
344,Lakhimi,Assam,Assam,89.42 - 96.,24.8 - 28.2,"{""2012"": ""7879806""}",Nil,Indigenous,Dual - milk and draught,Bullocks are excellent draft animals for carting and ploughing especially in the muddy fields for paddy cultivation.The milk produced by Lakhimi  cattle is rich in fat for which it fetches a high price.,The indigenous cattle of Assam locally called as Lakhimi are found in the entire state of Assam,,Extensive,Stationary,Grazing,These cattle are maintained traditionally under low/zero input system. Animals are let loose in the morning for grazing in nearby areas. Milking is done only once in the morning.,,Straight. Size 17 cm,Animals are small sized  horned and have relatively short legs. Coat colour is variable mainly brown and grey. Hump is medium in size and the backline is slightly curved. Udder is small and bowel shaped.,,"{""male"": 92.32, ""female"": 83.1}","{""male"": 131.34, ""female"": 112.38}","{""male"": 240.0, ""female"": 185.0}","{""male"": 15.46, ""female"": 14.67}",1.0,47.75,14.65,359.0,5.3,
340,Malnad Gidda,Karnataka,"Udupi,Uttar Kannada,Shimoga,Kodagu,Hassan,Dakshina Kannada,Chikmagalur",74.5 - 75.5,11.5 - 14.5,"{""2007"": ""1281000"", ""2013"": ""899091""}",Gidda   Uradana ( Meaning village cow)  Varshagandhi (gives one calf every year),The word Gidda means dwarf and Malnad means a place receiving heavy rainfall  where these cattle are inhabited.  Malay means hilly  Nadu means place (Malay+Nadu= Malnad) and gidda means small.,Draught  Milk and Manure,They play a major role in the rural economy of this region by providing milk  manure and draft power with negligible inputs,"""",,Extensive,Stationary,Grazing,During nights animals are housed in traditional shed where in dung and urine is not cleared regularly. Green leaves are spread on the floor everyday as bedding material over the dung and urine. It is cleared once in one to two months which forms good quality compost manure normally.  These animals are sent for grazing from morning till evening.  They are also fed with small quantities of paddy straw  spear grass and green grass depending on availability.  Generally they are bred by natural service when they go for grazing.,,Generally small and straight. Outward  upward and inward,They are small in size with compact body frame weighing around 80-120 Kg. Tail switch - black  hump - small  udder small and bowl shaped.,,"{""male"": 86.5, ""female"": 87.0}","{""male"": 118.5, ""female"": 118.4}",,"{""male"": 0, ""female"": 0}",,45.4,17.0,218.3,,"Malnad Gidda cattle are reared under low input low output system. Some areas it is zero input system where animals sustain solely on grazing.   Elite cows give 3-5 kg of milk per day despite small body size. These animals are highly adapted to harsh climatic conditions including heavy rainfall conditions.  These animals run fast, jump high and long."
316,Malvi,Madhya Pradesh,"Ujjain,Shajapur,Rajgarh",74.3 - 78.5,22.4 - 25.9,"{""2002"": ""53700"", ""2013"": ""1158172""}",Mahadeo puri  Manthani,Named after its place of origin viz.  Malwa region,Work - Draught and Transport,Well known for quick transportation  endurance and ability to carry heavy load on rough roads.,Also found in Ratlam district and adjacent areas of Madhya Pradesh.,,Semi-Intensive,Stationary,Grazing  Fodder and Concentrate,Plenty of grasses are available for grazing. Cattle owners take their cattle to grazing areas during day time and bring them back in evening. Sorghum and maize are grown as fodder crops.Concentrate is given only to bullocks.,,Curved  emerge from the outer angle of the poll in an outward and upward direction. 20 - 25 cm in length.,Strong well built whitish grey animal with  lyre shaped horns.,,"{""male"": 132.0, ""female"": 118.0}","{""male"": 175.0, ""female"": 152.0}","{""male"": 499.0, ""female"": 340.0}","{""male"": 21.0, ""female"": 19.0}",,48.95,16.67,915.6,4.28,
317,Mewati,Haryana,"Faridabad,Gurgaon,Bharatpur,Alwar,Mathura",76.35 - 77.4,27.15 - 27.55,"{""2013"": ""14773""}",Kosi and Mehwati,Similar to Hariana but there are traces of influence of Gir  Kankrej and Malvi breeds.,Work - Draught,Mewati cattle are powerfull and docile  and are useful for heavy ploughing  carting and drawing water from deep wells.,,,Semi-Intensive,Stationary,Grazing Fodder and Concentrate,Very little grazing is available for a limited period of two months  otherwise they are stall fed. Cattle depend mostly on the by-products of cereals  sorghum  millets  wheat  barley  chick peas etc. Concentrate such as  oilcakes and crushed grains are given to bullocks only. Calves are not weaned. Male calves receive greater attention than female calves since the breed is basically reared for draught purpose.,,Outwards  upwards  inwards in majority of animals; and outwards and upward in some animals.Tips  pointed. Small to medium in size,Face is long and narrow with straight  sometimes slightly bulging forehead.,,"{""male"": 117.69, ""female"": 114.8}","{""male"": 170.38, ""female"": 159.0}","{""male"": 385.0, ""female"": 325.0}",,,,,958.0,,
334,Motu,Odisha,Malkanagari,81.10 - 82.,17.45 - 18.40,"{""2007"": ""100000"", ""2013"": ""469320""}",Deshi,"Indigenous breed. Named after local area ""Motu"" of Malkangiri district in Orissa",Work-Draught; Manure; Food-Milk,,Southern part of Malkangiri district and adjoining area of Chhattisgarh and Andhra Pradesh. Heavy concentration is in Motu  Kalimela  Podia and Malkangiri area of Malkangiri district in Orissa. Sandy and clay type soil is predominant. Most of the area is covered with forest.,,Extensive,Stationary,Grazing,No supplementation of feed is given even in pregnancy or at calving. Group of animals are tied with a single rope both ends of which are tied to pillars,,Straight  Upward with rounded tip. Male: 6.23±0.21  Female: 3.35±0.18cm,Small sized  strong and draft type cattle. Animals are mostly polled and brown in colour,,"{""male"": 107.7, ""female"": 104.6}","{""male"": 128.3, ""female"": 116.3}","{""male"": 171.9, ""female"": 137.3}","{""male"": 12.23, ""female"": 11.45}",1.0,52.43,13.87,,,Cow dung is considered as important product from rearing of these cattle among the Koya tribes.
318,Nagori,Rajasthan,"Nagaur,Jodhpur,Bikaner",63.05 - 75.22,24.37 - 26.37,"{""1992"": ""173000"", ""2013"": ""373224""}",,Nagori takes its name from its home tract i.e. Nagaur district of Rajasthan in Western India,Work - Draught and Transportation,,Home tract is Nagaur district but animals are also found in adjoining Jodhpur district and Nokha tehsil of Bikaner district.,,Semi-Intensive,Stationary,Grazing and Fodder,Animal feed resources including water are scarce. Main fodders available in the area are some trees like Khejri  Kabli keekar  Jal   Aakh and sewan grass. Animasl are taken out for grazing and they cover long distances in search of fodder. Bullocks are usually stall fed. Animals are kept in open areas fenced either by bushes or by small mud walls. During extreme weather conditions  a temporary shelter of thatched roof is provided. Calves are allowed to suck milk as long as their dams give milk. Male calves are cared better as compared to female calves. Males are castrated at about 6 months of age. Natural mating is practised.,,Horns emerge from the outer angles of poll. They extend in an outward direction and are carried upward with gentle curve to turn in at points. Horns are medium in size.,White  upstanding  very alert and agile animal with long and narrow face like that of a horse.,,"{""male"": 145.0, ""female"": 138.0}","{""male"": 195.0, ""female"": 165.0}","{""male"": 363.0, ""female"": 318.0}","{""male"": 17.5, ""female"": 16.3}",,47.37,15.16,603.0,5.8,"Bullocks are big and powerful. They are capable of heavy draught work in deep sand.There is a tendency to legginess and lightness of bone, though feet are strong. This characteristic has given the breed its agility and case of movement. It turn like a horse."
348,Nari,Gujarat,"Sabar Kantha,Banas Kantha,Sirohi,Pali",71.03 - 73.39,23.03 - 25.25,"{""2016"": ""55000""}",Sirohi,Native. Nari name is derived from the word Nar which means hills.,Milk and draught,Nari cattle is dual purpose cattle breed. Milk is sold locally/dairy as per situation and male calves / bullocks are sold and used for draught power in agricultural activities,Majority of the Nari cattle population are found surrounding the Aravali forest range.These regions are slightly hilly and undulating area. The climate of the region is semi-arid tropical and has higher mean temperature. The maximum temperature may go up to 450C during hottest months i.e. April to June. The annual rainfall in the area ranges from 300 to 668 mm.,,Extensive,Nomadic,Grazing,In Bali  the animals migrate to the areas of the Aravalli hills adjoining to Bali tehsil. In Sirohi district the Raika community migrates along with their Nari herds in November/December every year to the Gujarat state due to unavailability of adequate feed and fodder. The community moves along with their families. During the migration  the luggage is carried over the donkeys/camels. Around 4 to 8 Raika individuals join together to make the herd of more than 500 cattle and 8-10 donkeys.The breeding method opted by farmers is natural mating. However  a bull is kept for a period of three years in a herd and thereafter it is rotated to other herd.,,Spirally curved & Outward/ forward in orientation. Size: Male- 55.56 	Female- 51.68 cm,Medium in size. Horns of males are mostly forwards in orientation (59%) whereas  the females has the horns mostly oriented outwards. Generally wide-spread  long  and thick at bottom and pointed at tips.Forehead is broad and slightly concave in majority of cases,,"{""male"": 129.2, ""female"": 119.3}","{""male"": 175.2, ""female"": 153.0}","{""male"": 366.0, ""female"": 258.0}",,1.0,44.6,12.0,1647.0,4.64,Medium to moderate in milk yield. Excellent draught power as they perform well in both plains & hilly forest areas
319,Nimari,Madhya Pradesh,"Badwani,Khargaon / West Nimar",70. - 76.,21. - 23.,"{""2001"": ""38320"", ""2013"": ""341828""}",Khargaon  Khargoni  Khurgoni,Originated from crossing of Gir and Khillari. Gir blood has contributed to its coat colour  massive body structure and convexity of forehead  and Khillari blood to its hardiness  agility and temper. Named after place of its origin i.e. Nimar region,Work - Draught,Used for all agricultural operations as well as for transportation,Mainly in Central parts of Khargaon  Badwani districts and very few in the bordering Dhar district and adjacent areas of Madhya Pradesh and adjoining districts of Maharashtra state.,,Semi-Intensive,Stationary,Grazing  Fodder and Concentrate,There are lot of grasses and cattle are sent for grazing. Bullocks are generally stall fed. In addition to harvested grasses  they are also fed concentrates such as cotton seed  crushed chickpeas and GNC or sesam cakes. In winter all the cattle are stall fed. Green sorghum is extensively fed. During scarcity period  tree lopping are given. Special attention is paid to the rearing of male calves as they from an important source of income to the farmers. Males are usually castrated  and put to light work at about 36 to 42 months of age. Only few cows are milked while the rest feed calves only.,,Horns usually emerge in a backward direction from the outer angles of the poll  some what in the same manner as in Gir cattle  turning upward  outward and finally inward.,Massive body structure  typical red colour with large splashes of white and bulging forehead.,,"{""male"": 126.6, ""female"": 113.39}","{""male"": 151.53, ""female"": 148.26}","{""male"": 390.0, ""female"": 339.0}","{""male"": 19.9, ""female"": 18.7}",,54.1,17.07,766.9,4.9,
320,Ongole,Andhra Pradesh,"Kurnool,Nellore,Ongole / Prakasam,Guntur,East Godavari",79. - 80.55,14. - 16.50,"{""2000"": ""35055"", ""2013"": ""115905""}",Nellore,The ongole breed takes its name from the geographical area  Ongole  in which it is reared. It is also called the Nellore breed since the Ongole taluk was earlier included in Nellore district.,Work - Draught; Food - Milk,Ongoles have been exported to several countries. USA imported it for beef; Brazil for beef and milk; Sri Lanka  Fiji and Jamaica for draught;  Australia for heat tolerance and beef; and Switzerland for disease resistance.,The breeding tract extends all along the coast from Nellore to Vizianagram,,Semi-Intensive,Stationary,Grazing  Fodder and Concentrate,Cattle are sent for grazing in groups with professional grazers knowns as lambadis. Male calves are nursed better than female calves . They are allowed more milk and for longer duration as compared to female calves.Paddy straw and cultivated crops such as lentil are fed to animals. Stovers from sorghum are also fed. Cotton cakes and cotton seed are extensively used for cattle feeding.,,Horns are short and stumpy  growing outward and backward from the outer angles of the poll  thick at the base and firm without cracks. In cows  horns are thinner than in bulls. Horns in cows generally extend outward  upward and inward.,Majestic gait  stumpy horns  large fan shaped and fleshy dewlap serrated with smooth flowing folds instead of narrow constrictions.,,"{""male"": 144.11, ""female"": 139.55}","{""male"": 173.49, ""female"": 165.29}","{""male"": 434.0, ""female"": 382.0}","{""male"": 28.0, ""female"": 26.0}",,45.58,13.12,798.0,3.79,"The Nellore or Ongole breed hardiness, disease resistance and its capacity to thrive on scanty and dry fodder have been quite successfully exploited for improvement and upgrading their local stock by many countries"
347,Poda Thurpu,Telangana,Nagarkurnool,78.83 - .,16.37 - .,"{""2016"": ""15000""}",Thurpu,Native.  Local communities identify the cattle breed as Poda Edlu (Poda locally means spotted/ speckles/blotches)  the cattle usually has speckled/blotched coat (brown spots on white skin). The cattle breed is commonly known as Thurpu Edlu in western parts of Telangana. Farmers who use bullocks of the breed for draught purposes call them as Thurpu Edlu (means East  and Edlu means bullocks in local language Telugu)  because they are believed to have come from the eastern side of the Telangana district,Draught  milk and manure,Bullocks are powerful and very good for heavy ploughing and carting heavy loads. They are quick and agile,Amrabad forest and its adjoining areas of Achampet  Amrabad  Lingal  Padra Mandals are the native habitat of the Poda Thurpu cattle breed. Majority of this cattle population and uniformity/purity of the breed is found in the surrounding areas of Amrabad forest,,Extensive,Stationary,Grazing,Herd size ranges from 23 to 75. The breeders of this cattle breed do not provide any additional supplementary feed to animals  except salt. Animals are maintained exclusively under open grazing system in forest. Some farmers follow migratory grazing system.,,"Mostly straight  sometimes curved backward and upward or forward pointing.
Size: Male- 31.85 	Female- 29.98 cm",Medium size cattle with  compact body. White coat with brown patches or Red/brown coat with white patches. Patches are seen on the entire body. Majority of patches are seen on the lateral sides of the body. Horns are broad at base. Forehead is convex with deep groove at the centre in majority of animals,,"{""male"": 105.5, ""female"": 98.8}","{""male"": 164.9, ""female"": 150.2}","{""male"": 255.0, ""female"": 208.0}","{""male"": 18.76, ""female"": 17.86}",1.0,50.3,11.9,570.0,3.9,"Bullock are preferred in both dryland and wetland agriculture and have excellent draught power in terms of endurance, speed & stamina. This is due to strong and well developed hoof which can work for long duration in wetland"
321,Ponwar,Uttar Pradesh,Pilibhit,79. - 80.4,28.4 - 28.8,"{""2001"": ""15000"", ""2013"": ""20067""}",Purnea,This breed may be a mixture of hill cattle and plain cattle. Nepalese hill cattle (Morang) and local white cattle might have contributed to the origin of this breed.,Work - Draught and Transport,Bullocks are fast mover  good for agricultural operations and good source of income to the farmers.,This breed is found in the Puranpur tehsil of Pilibhit district. Animals true to the breed are found in Mainakot  Mazara  Bhirkhera  Faizulaganj and Rajpur Semra villages falling under Madhotanda veterinary Hospital area of Puranpur.,,Extensive,Stationary,Grazing,Cattle are raised entirely on grazing in the forest area and no suplementary feed is provided . Animals of the whole village are taken for grazing by one or two persons. Females are not milked. Calves are allowed to suck all the milk. Bullocks are used for transportation and agricultural operations. Other stock is rarely handled. Animals are kept in the open.,,Horns emerge outward  upward and then curve inward with pointed tips. Sometimes horns curve backward in the end. Horns are medium in size.,,,"{""male"": 101.0, ""female"": 94.0}","{""male"": 150.0, ""female"": 142.0}","{""male"": 318.0, ""female"": 295.0}","{""male"": 18.5, ""female"": 17.6}",,51.0,12.7,459.0,,"Because of the predators animals have a nervous nature and move in groups putting their heads in between each other. It is very difficult, rather impossible to take out one animal from the group. Animals behave just like semi-wild type and are very difficult to handle."
338,Pulikulam,Tamilnadu,"Virudhunagar/Kamarajar,Sivaganda/Pasumpon muthu thevar,Madurai",77.47 - 78.49,9.30 - 10.30,"{""2006"": ""45000"", ""2013"": ""7352""}",Palingu maadu  Mani maadu  Jallikattu maadu  mattu maadu  Kilakattu maadu,Originated from Pulikulam village,Draught  Game (Jallikattu) and Manure,Bulls are used in Bull riding (Jallikattu) which is very popular game in the area.,"""",,Extensive,Transhumant,Grazing,Mostly maintained by Konar and Thevar communities. Herd size varies from 100-700 with an average of 1bout 400 cattle. Small herds are pooled togther for logistical and economic reasons.,,Curved - Outwards  upwards  backwards and inwards ending with pointed tips  tips are wide apart. Size: Male-34.34cm Female-37.22cm,Small size  compact body and short legs. Muzzle  eyelids  tail switch and hooves are black.Fore Head is broad and level with groove at centre.Hump large in males and small in females. Udder not well developed.,,"{""male"": 119.2, ""female"": 114.5}","{""male"": 149.7, ""female"": 139.2}","{""male"": 259.0, ""female"": 208.0}",,,50.0,,,,Milking is done only in 10-15 cows in a herd to meet the requirements of herdsmen. Daily milk yield ranges from 0.5 to 2 kg with an average of around 1.25kg. Pulikulam cattle are trained for riding events (Jallikattu).
322,Punganur,Andhra Pradesh,Chittoor,78.40 - 79.10,13.10 - 13.40,"{""1997"": ""0"", ""2013"": ""2772""}",,This breed was developed by Rulers of Punganur. Hence this breed is known as Punganur after the name of area.,Work - Draught and Transportation; Food - Milk,These animals are used for agricultural operations on light soil. Bullocks are used for carts like tongas and for special races.,The   breed tract is confined to the taluks of Punganur and adjacent taluks of Vayalpad  Madnapalli and Palamaner in Chittoor district of Andhra Pradesh.,,Semi-Intensive,Stationary,Grazing  Fodder and Concentrate,Women and children of the family look after the animals. Animals are housed in a small shed made with the help of bamboos and stone pillars. Stacks of paddy straw and groundnut form the roof of cattle shed. Animals are housed only during the night and are grazed in the wastelands in the nearby forests.  Soon after the harvest of paddy  animals are allowed to graze over paddy stubbles. Paddy straw forms the major component of fodder. In addition  sugarcane tops  ground nut halms  fingermillet straw and mulberry leaves are fed to cattle. Milking cows are fed concentrates at the time of milking.,,Horns are crescent shaped and often loose curving backward and forward in males and lateral and forward in females. Short to medium in size.,Short stature,,"{""male"": 113.0, ""female"": 108.0}","{""male"": 151.0, ""female"": 128.0}","{""male"": 240.0, ""female"": 170.0}","{""male"": 12.8, ""female"": 11.4}",,37.0,14.88,546.0,5.0,Dwarf cattle
353,Purnea,Bihar,"Supaul,Kishanganj,Araria,Katihar,Purnia,Madhepura",86.45 - 87.52,25.13 - 26.26,"{""2012"": ""219000""}",,Native. Named after the name of its breeding tract,Milk  draught and manure,,Purnea cattle are distributed in Seemanchal region of Bihar comprising entire districts of Araria  Purnea and Katihar  and the adjoining areas of Kishanganj  Supaul and Madhepura districts.,,Extensive,Stationary,Grazing and Fodder,In addition to grazing  only straws from paddy  wheat and maize are provided as fodder,,Straight and mostly carried upwards sometimes laterally. Size: Male- 8.3	Female- 7.1cm,These are small sized animals. These cattle have medium hump  small to medium dewlap  small naval flap and small to medium sized udder. Head is medium in size. Most of the Purnea cattle has flat poll while some have moderately prominent poll.,,"{""male"": 104.6, ""female"": 101.9}","{""male"": 144.6, ""female"": 136.8}","{""male"": 202.0, ""female"": 176.0}",,1.0,49.3,15.0,609.1,4.22,
323,Rathi,Rajasthan,"Jaisalmer,Ganganagar,Bikaner",72. - 75.,27. - 30.,"{""2013"": ""865921""}",,It takes its name from a pastroal tribe called Raths who are Muslims of Rajput extraction and lead a nomadic life. Rathi cattle seems to have originated from the mixture of Sahiwal  Red Sindhi  Tharparkar and Dhanni breeds apparently with a preponderance of Sahiwal blood.,Food - Milk,,Rathi animals are particularly concentarted in Loonkaransar tehsil of Bikaner district which is also known as Rathi tract.,,Semi-Intensive,Nomadic/Stationary,Grazing  Fodder and Concentrate,Scarcity of fodder and water is endemic and become acute during summer. Vegetation is very poor. Animals graze on sparse grasses and small bushes. Most of the animals are owned and bred by nomads  who move with their herds in the tract from one place to another depending on the availability of water and grazing pasture. Wheat straw  pala leaves and chaffed sewan grasses are fed to animals. Chaffed sorghum and pearl millet when available are substituted for grasses and leaves. Dry stalks of sorghum and pearl millet are also fed in lean season. Lactating animals are provided concentrate mixture in proportion to their production. Animals are generally not provided with shelter except during extreme weather.,,Horns are curving outward  upward and inward. Horns are short to medium in size.,Face - broad between eyes and slightly dished. Dewlap - Fine and loose.Tail - long  fine tapering to a good black or white switch well below the hock.,,"{""male"": 0, ""female"": 0}","{""male"": 0, ""female"": 0}","{""male"": 0, ""female"": 0}","{""male"": 19.1, ""female"": 18.9}",,46.4,17.07,1560.0,,
324,Red Kandhari,Maharashtra,"Latur,Nanded,Beed,Parbhani,Ahmadnagar",76.50 - 78.30,18.25 - 19.37,"{""1997"": ""140756"", ""2013"": ""235058""}",Lakhalbunda,The breed could have been named by Raja Somdeori in memory of his father Raja Kanhar as Red Kanhari  now misnomered as Red Kandhari. This breed having red colour and common in Kandhar tehsil of Nanded district also naturally acquires the name Red Kandhari.,Work - Draught and transport,Bullocks are used for heavy work.,Pure Red Kandhari animals are found in Kandhar  Mukhed  Nanded and Biloli tehsils of Nanded distrcit; Ahmadpur  Parli and Hingoli tehsils of Latur district.,,Extensive,Stationary,Grazing,Herd size is small. Generally animals are maintained on grazing alone. Small quantities of concentrate is offered only to bullocks  bull calves and milking females. Calves are not weaned. Male calves are nursed better and longer as compared to female calves. Most of the animals are given individual care.,,Horns are evenly curved and medium sized.,,,"{""male"": 133.0, ""female"": 124.0}","{""male"": 173.0, ""female"": 146.0}","{""male"": 430.0, ""female"": 340.0}","{""male"": 20.4, ""female"": 18.7}",,,14.61,598.0,4.57,
325,Red Sindhi,,,. - .,. - .,"{""2013"": ""59642""}",Malir (Baluchistan)  Red Karachi and Sindhi,Red Sindhi is considered to have originated from Las Bela cattle found in the state of Bela  Baluchistan.,Food - Milk,,The original breeding tract is in Pakistan but some organised herds are available in Orissa  Tamil nadu  Bihar  Kerala and Assam states of India.,,Intensive,Stationary,Fodder and Concentrate,These are kept under intensive management conditions at organised farms.,,Horns are thick at the base and emerge laterally and curve upward.,,,"{""male"": 140.0, ""female"": 140.0}","{""male"": 180.0, ""female"": 140.0}","{""male"": 450.0, ""female"": 320.0}","{""male"": 22.5, ""female"": 21.4}",,43.54,14.57,1840.0,4.5,
326,Sahiwal,Punjab,"Amritsar,Ferozpur,Ganganagar",73.6 - 74.4,29.10 - 30.55,"{""2013"": ""1092459""}",Lambi Bar  Lola  Montgomery  Multani and Teli.,The breed derives its name from Sahiwal area in Montgomery district of Punjab (Pakistan.,Food - Milk,One of the best dairy breed of zebu cattle. It is being utilized for improvement of local stock.,A few herds of pure Sahiwal cattle are available aound Fazilka and Abohar towns of Ferozepur district.,,Semi-Intensive,Stationary,Grazing  Fodder and Concentrate,Animals are not provided with any type of house. They are kept loose in an open area. Only calves are provided with bush enclosers. Animals are taken for grazing in the morning. Milking cows return early while the rest return at sun set. They are also fed green fodder. Milking cows are provided supplementry feeding in the form of cotton seed  barley and oil cake. Feed is given in soaked form at the time of milking. Calves are reared on whole milk up to 1 month of age after which some green fodder is also fed. Calves are allowed to suck 1-2 teats up to 6 months of age.,,Horns are stumpy and short to medium running Outwards  upwards and then inwards.,Pale red colour  short horns and loose skin.,,"{""male"": 150.0, ""female"": 131.0}","{""male"": 190.0, ""female"": 164.0}","{""male"": 540.0, ""female"": 327.0}","{""male"": 22.4, ""female"": 20.7}",,41.7,15.6,2325.0,4.9,"Because of its desirable traits, it is being utilised widely in many warm humid countries of the world for improvement of local stock or for initial crossbreeding of indigenous stock before undertaking upgrading with European breeds."
